source,row,col,filename,size,labeled
PPL_ASIA1.png,4,1,ae_male_traditional.webp,792,True
PPL_ASIA1.png,4,2,ae_female_muslim.webp,792,True
PPL_ASIA1.png,4,3,pk_male_traditional.webp,792,True
PPL_ASIA1.png,4,4,pk_female_traditional.webp,792,True
PPL_ASIA2.png,0,0,cn_female_qipao.webp,792,True
PPL_ASIA2.png,0,1,cn_female_traditional.webp,792,True
PPL_ASIA2.png,0,2,kr_male_traditional_2.webp,792,True
PPL_ASIA2.png,0,3,vn_female_farmer.webp,792,True
PPL_ASIA2.png,0,4,th_female_traditional.webp,792,True
PPL_ASIA2.png,1,0,id_male_muslim.webp,792,True
PPL_ASIA2.png,1,1,id_female_traditional.webp,792,True
PPL_ASIA2.png,1,2,ph_male_traditional.webp,792,True
PPL_ASIA2.png,1,3,my_male_casual.webp,792,True
PPL_ASIA2.png,1,4,my_female_muslim_2.webp,792,True
PPL_ASIA2.png,2,0,sg_male_professional.webp,792,True
PPL_ASIA2.png,2,1,sg_female_professional.webp,792,True
PPL_ASIA2.png,2,2,sa_female_muslim.webp,792,True
PPL_ASIA2.png,2,3,ae_male_traditional_2.webp,792,True
PPL_ASIA2.png,2,4,pk_male_traditional_2.webp,792,True
PPL_ASIA2.png,3,0,bd_male_traditional.webp,792,True
PPL_ASIA2.png,3,1,bd_female_traditional.webp,792,True
PPL_ASIA2.png,3,2,tw_female_traditional.webp,792,True
PPL_ASIA2.png,3,3,hk_male_professional_2.webp,792,True
PPL_ASIA2.png,3,4,hk_female_professional.webp,792,True
PPL_ASIA2.png,4,0,il_male_jewish.webp,792,True
PPL_ASIA2.png,4,1,il_female_casual.webp,792,True
PPL_ASIA2.png,4,2,ir_female_traditional.webp,792,True
PPL_ASIA2.png,4,3,kw_male_traditional.webp,792,True
PPL_ASIA2.png,4,4,sy_female_muslim.webp,792,True
PPL_ASIA3.png,0,0,cn_male_traditional_2.webp,792,True
PPL_ASIA3.png,0,1,cn_female_qipao_2.webp,792,True
PPL_ASIA3.png,0,2,cn_male_muslim.webp,792,True
PPL_ASIA3.png,0,3,kr_male_traditional_3.webp,792,True
PPL_ASIA3.png,0,4,kr_female_traditional_2.webp,792,True
PPL_ASIA3.png,1,0,tw_male_professional.webp,792,True
PPL_ASIA3.png,1,1,tw_female_student.webp,792,True
PPL_ASIA3.png,1,2,hk_male_professional_3.webp,792,True
PPL_ASIA3.png,1,3,vn_female_professional.webp,792,True
PPL_ASIA3.png,1,4,vn_female_traditional_2.webp,792,True
PPL_ASIA3.png,2,0,th_male_traditional.webp,792,True
PPL_ASIA3.png,2,1,id_male_traditional.webp,792,True
PPL_ASIA3.png,2,2,id_female_muslim.webp,792,True
PPL_ASIA3.png,2,3,my_male_muslim_2.webp,792,True
PPL_ASIA3.png,2,4,my_female_qipao.webp,792,True
PPL_ASIA3.png,3,0,ph_male_traditional_2.webp,792,True
PPL_ASIA3.png,3,1,ph_female_traditional_2.webp,792,True
PPL_ASIA3.png,3,2,sa_female_muslim_2.webp,792,True
PPL_ASIA3.png,3,3,ae_male_traditional_3.webp,792,True
PPL_ASIA3.png,3,4,ae_female_muslim_2.webp,792,True
PPL_ASIA3.png,4,0,kw_male_traditional_2.webp,792,True
PPL_ASIA3.png,4,1,sy_female_traditional.webp,792,True
PPL_ASIA3.png,4,2,pk_male_traditional_3.webp,792,True
PPL_ASIA3.png,4,3,bd_female_traditional_2.webp,792,True
PPL_ASIA3.png,4,4,il_male_jewish_2.webp,792,True
PPL_ASIA4.png,0,0,cn_male_traditional_3.webp,792,True
PPL_ASIA4.png,0,1,cn_female_qipao_3.webp,792,True
PPL_ASIA4.png,0,2,kr_male_traditional_4.webp,792,True
PPL_ASIA4.png,0,3,kr_female_traditional_3.webp,792,True
PPL_ASIA4.png,0,4,vn_female_aodai_2.webp,792,True
PPL_ASIA4.png,1,0,vn_male_farmer_2.webp,792,True
PPL_ASIA4.png,1,1,vn_female_aodai_3.webp,792,True
PPL_ASIA4.png,1,2,th_male_muslim.webp,792,True
PPL_ASIA4.png,1,3,id_female_muslim_2.webp,792,True
PPL_ASIA4.png,1,4,ph_female_traditional_3.webp,792,True
PPL_ASIA4.png,2,0,my_male_muslim_3.webp,792,True
PPL_ASIA4.png,2,1,my_female_qipao_2.webp,792,True
PPL_ASIA4.png,2,2,sg_male_military.webp,792,True
